NPD Pass Fail Criteria,
3.982,-151.3199096
3.983,-151.316739
3.984,-151.3191291
3.985,-151.3108223
3.986,-151.3206754
3.987,-151.365709
3.988,-151.3747238
3.989,-151.3998267
3.99,-151.4177978
3.991,-151.4262011
3.992,-151.4127486
3.993,-151.4205832
3.994,-151.4176567
3.995,-151.3946013
3.996,-151.4142999
3.997,-151.4395882
3.998,-151.4535341
3.999,-151.4762207
4,-151.5137635
4.001,-151.5163058
4.002,-151.5263835
4.003,-151.5296225
4.004,-151.5012603
4.005,-151.5068203
4.006,-151.5246179
4.007,-151.5370767
4.008,-151.5539528
4.009,-151.5784652
4.01,-151.5950645
4.011,-151.589953
4.012,-151.5889937
4.013,-151.5760831
4.014,-151.5741386
4.015,-151.565828
4.016,-151.5778532
4.017,-151.5712712
4.018,-151.5956074
4.019,-151.6048266
4.02,-151.6248133
4.021,-151.6396539
4.022,-151.6239096
4.023,-151.6193395
4.024,-151.6259126
4.025,-151.6162708
4.026,-151.6219537
4.027,-151.6283994
4.028,-151.6290351
4.029,-151.6353441
4.03,-151.6324165
4.031,-151.624891
4.032,-151.6046229
4.033,-151.6083086
4.034,-151.6052431
4.035,-151.6195293
4.036,-151.6016083
4.037,-151.580294
4.038,-151.5987978
4.039,-151.5669805
4.04,-151.5512053
4.041,-151.533819
4.042,-151.5250759
4.043,-151.4957921
4.044,-151.4781476
4.045,-151.4802438
4.046,-151.4694715
4.047,-151.462665
4.048,-151.4481708
4.049,-151.4423193
4.05,-151.424431
4.051,-151.4370527
4.052,-151.4250416
4.053,-151.4132
4.054,-151.4043399
4.055,-151.4119468
4.056,-151.4035934
4.057,-151.4004781
4.058,-151.3900342
4.059,-151.3957874
4.06,-151.400493
4.061,-151.4005316
4.062,-151.413033
4.063,-151.4056231
4.064,-151.4165744
4.065,-151.449886
4.066,-151.4437957
4.067,-151.4086029
4.068,-151.3907661
4.069,-151.3707031
4.07,-151.3524423
4.071,-151.3651493
4.072,-151.3628204
4.073,-151.3532092
4.074,-151.370801
4.075,-151.359396
4.076,-151.3576335
4.077,-151.3615992
4.078,-151.3470781
4.079,-151.3597111
4.08,-151.36436
4.081,-151.3677508
4.082,-151.3870661
4.083,-151.4082919
4.084,-151.4207502
4.085,-151.4267538
4.086,-151.4319238
4.087,-151.4561481
4.088,-151.4847384
4.089,-151.507963
4.09,-151.549055
4.091,-151.5603597
4.092,-151.5791842
4.093,-151.6040109
4.094,-151.6173533
4.095,-151.6381605
4.096,-151.6497176
4.097,-151.6928834
4.098,-151.7308912
4.099,-151.7301257
4.1,-151.7451768
